case,variant,lufs_ff,tp_ff,lufs_own,tp_own,static_gain_db,cap_bound,max_gr_db,mean_gr_db,pct_gr_gt1db,logmel_l1,logmel_l1_p99,crest_db,plr_db,wer,word_errors,hyp
af_heart/short,raw,-26.1,-10.8,,,,,0.0,0.0,0.0,0.0,0.0,16.26,15.3,0.0,0,"Hello there, welcome back."
af_heart/short,B,-16.8,-1.5,-16.82,-1.5,9.28,,0.0,0.0,0.0,0.0018,0.0029,16.26,15.3,0.0,0,"Hello there, welcome back."
af_heart/short,L1-60,-16.0,-1.5,-16.02,-1.55,10.2,False,0.97,0.047,0.0,0.0098,0.0716,15.63,14.5,0.0,0,"Hello there, welcome back."
af_heart/short,L1-150,-16.0,-1.5,-16.04,-1.55,10.27,False,1.04,0.109,0.59,0.0139,0.0812,15.66,14.5,0.0,0,"Hello there, welcome back."
af_heart/short,L2-60,-16.0,-1.5,-16.02,-1.55,10.2,False,0.97,0.047,0.0,0.0098,0.0716,15.63,14.5,0.0,0,"Hello there, welcome back."
af_heart/short,L2-150,-16.0,-1.5,-16.04,-1.55,10.27,False,1.04,0.109,0.59,0.0139,0.0812,15.66,14.5,0.0,0,"Hello there, welcome back."
af_heart/short,L3-60,-16.0,-1.5,-16.02,-1.55,10.2,False,0.97,0.047,0.0,0.0098,0.0716,15.63,14.5,0.0,0,"Hello there, welcome back."
af_heart/short,L3-150,-16.0,-1.5,-16.04,-1.55,10.27,False,1.04,0.109,0.59,0.0139,0.0812,15.66,14.5,0.0,0,"Hello there, welcome back."
af_heart/medium,raw,-25.8,-9.5,,,,,0.0,0.0,0.0,0.0,0.0,16.82,16.3,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,B,-17.8,-1.5,-17.78,-1.5,8.01,,0.0,0.0,0.0,0.0015,0.0031,16.82,16.3,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L1-60,-16.1,-1.5,-16.05,-1.55,10.02,False,2.06,0.081,2.41,0.0314,0.1065,14.97,14.6,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L1-150,-16.0,-1.5,-16.03,-1.55,10.2,False,2.24,0.177,5.05,0.0363,0.1374,14.95,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L2-60,-16.1,-1.5,-16.05,-1.55,10.02,False,2.06,0.081,2.41,0.0314,0.1065,14.97,14.6,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L2-150,-16.0,-1.5,-16.03,-1.55,10.2,False,2.24,0.177,5.05,0.0363,0.1374,14.95,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L3-60,-16.1,-1.5,-16.05,-1.55,10.02,False,2.06,0.081,2.41,0.0314,0.1065,14.97,14.6,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/medium,L3-150,-16.0,-1.5,-16.03,-1.55,10.2,False,2.24,0.177,5.05,0.0363,0.1374,14.95,14.5,0.0,0,"Natural text to speech reads the passage you select aloud, using a voice that runs entirely on your Mac."
af_heart/long,raw,-25.6,-6.5,,,,,0.0,0.0,0.0,0.0,0.0,19.2,19.1,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,B,-20.6,-1.5,-20.55,-1.5,5.07,,0.0,0.0,0.0,0.0066,0.0079,19.2,19.1,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,L1-60,-16.0,-1.5,-16.01,-1.55,9.95,False,4.93,0.132,4.11,0.0385,0.2217,14.78,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,L1-150,-16.0,-1.5,-16.04,-1.55,10.16,False,5.14,0.28,9.16,0.0547,0.2626,14.79,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
af_heart/long,L2-60,-16.0,-1.5,-16.01,-1.55,9.95,False,4.93,0.132,4.11,0.0385,0.2217,14.78,14.5,0.0278,2,"Select any passage on a web page and press play. The extension sends the text to a small helper running on your own computer, which turns it into speech with the Kokoro model. Nothing leaves the machine, there is no account to create, and the voices sound natural enough to listen to for an entire article. If the helper is not running, the extension falls back to the voices built into Mac OS."
